Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Africa,º Africa,1961,BiocapTotGHA,4159338.77689372,0,69384589.2983475,51736653.4719036,427712609.713647,287733226.245474,840726417.506265,,null
Africa,º Africa,1961,EFConsTotGHA,4159338.77689372,11095229.9376593,59235777.291242,7553043.38379634,75277978.3404388,56617788.4656905,213939156.195721,,null
Africa,º Africa,1962,EFConsTotGHA,4393447.67235403,11459627.5130835,61625569.6003842,7838913.02364177,76346808.3026678,57140366.7047141,218804732.816845,,null
Africa,º Africa,1962,BiocapTotGHA,4393447.67235403,0,72967791.1245805,51615567.2743644,427493460.803272,287054944.285829,843525211.1604,,null
Africa,º Africa,1963,BiocapTotGHA,4544698.73707887,0,77059233.0262404,51441052.6550042,426700771.300517,286081578.394121,845827334.11296,,null
Africa,º Africa,1963,EFConsTotGHA,4544698.73707887,11537015.7952904,65701247.0109805,8149790.01892719,81183155.8993545,58465819.8885784,229581727.35021,,null
Africa,º Africa,1964,BiocapTotGHA,5038243.94866544,0,83770375.6381314,55671802.8561627,450741980.316635,312460805.246171,907683208.005764,,null
Africa,º Africa,1964,EFConsTotGHA,5038243.94866544,16243001.3510526,71633873.4513003,8608541.41620138,88107020.5151642,70995715.3293424,260626396.011726,,null
Africa,º Africa,1965,EFConsTotGHA,5131549.5665582,18588616.0017342,71679484.7838993,9029396.56273981,90501944.6706342,73764695.7829098,268695687.368476,,null
Africa,º Africa,1965,BiocapTotGHA,5131549.5665582,0,85216092.4711614,55473165.564159,450781537.818591,311385546.833059,907987892.253528,,null
Africa,º Africa,1966,EFConsTotGHA,5554287.13621981,17901083.4273247,74525420.2181987,9964615.07912495,93686685.6293221,76883174.3063683,278515265.796559,,null
Africa,º Africa,1966,BiocapTotGHA,5554287.13621981,0,87162501.5783096,55454332.1680886,451135845.092492,313076304.477862,912383270.452971,,null
Africa,º Africa,1967,EFConsTotGHA,5981259.23020348,18503383.1223363,80710779.6029111,10047577.7863685,95639694.6415399,79818626.3003168,290701320.683676,,null
Africa,º Africa,1967,BiocapTotGHA,5981259.23020348,0,93318217.2071036,55292807.8289155,450711259.501819,312201219.551222,917504763.319264,,null
Africa,º Africa,1968,BiocapTotGHA,6182410.80887225,0,94366793.505381,58292136.3970711,449747734.729202,312193363.1185,920782438.559026,,null
Africa,º Africa,1968,EFConsTotGHA,6182410.80887225,20557531.7762574,79250842.4800203,10923568.543609,97525816.8018721,82934786.8757769,297374957.286408,,null
Africa,º Africa,1969,EFConsTotGHA,6687592.12121537,23036161.7134091,92045618.2340864,11282951.2147935,101248345.026682,85059933.5415285,319360601.851715,,null
Africa,º Africa,1969,BiocapTotGHA,6687592.12121537,0,106141534.639957,60325367.2701559,455663501.504423,312574445.195699,941392440.73145,,null
Africa,º Africa,1970,BiocapTotGHA,7105581.60783196,0,110156063.563625,60450489.6637144,454818168.955848,313258915.177165,945789218.968184,,null
Africa,º Africa,1970,EFConsTotGHA,7105581.60783196,26122954.4246449,97008616.2040815,12386016.3186536,103822119.626607,86434662.0092938,332879950.191113,,null
Africa,º Africa,1971,EFConsTotGHA,7650774.49142356,30372420.0943144,104744214.982219,12984457.1871564,107350799.920652,91469431.9145556,354572098.59032,,null
Africa,º Africa,1971,BiocapTotGHA,7650774.49142356,0,115225368.0734,60686410.6589103,455234276.52252,326108613.779626,964905443.52588,,null
Africa,º Africa,1972,BiocapTotGHA,7724527.73267146,0,109457478.944415,60894750.4048777,454935048.620722,327244189.460724,960255995.163409,,null
Africa,º Africa,1972,EFConsTotGHA,7724527.73267146,31037533.5975508,96561634.4130724,15050924.3397473,107252114.932102,93946698.8020563,351573433.8172,,null
Africa,º Africa,1973,BiocapTotGHA,8310071.97948998,0,120520118.328464,70464988.1027884,458934258.545037,355584216.351825,1013813653.3076,,null
Africa,º Africa,1973,EFConsTotGHA,8310071.97948998,99354477.2013125,106033502.911145,20604855.8491564,118658296.646912,96893288.4802525,449854493.068268,,null
Africa,º Africa,1974,EFConsTotGHA,9216585.39175595,106072075.92853,121243718.49245,20771653.2637236,119974885.521338,99327528.5963335,476606447.194131,,null
Africa,º Africa,1974,BiocapTotGHA,9216585.39175595,0,131390796.636568,70720635.381981,457914428.945247,356784848.766881,1026027295.12243,,null
Africa,º Africa,1975,EFConsTotGHA,9739669.03162937,116089928.730915,127476281.907382,20295563.8474035,125903839.52972,109106449.678001,508611732.725051,,null
Africa,º Africa,1975,BiocapTotGHA,9739669.03162937,0,135868836.897324,73201138.9093516,460295124.803362,361538549.667401,1040643319.30907,,null
Africa,º Africa,1976,EFConsTotGHA,10103968.4393258,124245168.564351,125602202.458383,19219349.1906413,127932109.133901,110787933.533378,517890731.319981,,null
Africa,º Africa,1976,BiocapTotGHA,10103968.4393258,0,137193909.614832,73108338.84365,459835610.256253,361136391.403552,1041378218.55761,,null
