Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Oceania,º Oceania,1961,EFConsTotGHA,274847.974093311,31852189.9877091,5677551.84633267,603765.043713341,10879867.3976162,29575577.4624313,78863799.7118959,,null
Oceania,º Oceania,1961,BiocapTotGHA,274847.974093311,0,13794932.2975514,78457260.8495424,49820203.4598843,165960686.508754,308307931.089825,,null
Oceania,º Oceania,1962,EFConsTotGHA,303634.28857641,33235937.731997,6521483.43305372,639055.470271121,9859710.02004146,28823563.5846741,79383384.5286139,,null
Oceania,º Oceania,1962,BiocapTotGHA,303634.28857641,0,15836543.5325931,78273636.8470591,49842785.0505699,166000770.999983,310257370.718781,,null
Oceania,º Oceania,1963,EFConsTotGHA,330041.292884453,35588533.4475294,9946718.06196568,657781.042975581,10334946.5766374,29499470.6049202,86357491.0269128,,null
Oceania,º Oceania,1963,BiocapTotGHA,330041.292884453,0,17334753.212019,78008990.0619585,49798540.8761604,166297935.57398,311770261.017002,,null
Oceania,º Oceania,1964,EFConsTotGHA,333956.283806847,38301752.7646529,7510118.71541346,640344.053885009,10949987.1728802,29241356.8843075,86977515.8749459,,null
Oceania,º Oceania,1964,BiocapTotGHA,333956.283806847,0,18359902.171753,77841264.2293462,49793109.4493191,166450490.896853,312778723.031078,,null
Oceania,º Oceania,1965,EFConsTotGHA,257998.854043552,41166330.6125736,4698194.00609564,716590.314288557,11093770.0161739,30304265.7950435,88237149.5982187,,null
Oceania,º Oceania,1965,BiocapTotGHA,257998.854043552,0,14182446.1536359,77563526.1799314,49846805.8244295,167027210.842432,308877987.854473,,null
Oceania,º Oceania,1966,BiocapTotGHA,385979.68091066,0,22887306.3044188,77537193.0043446,49942433.3504888,166925543.400084,317678455.740247,,null
Oceania,º Oceania,1966,EFConsTotGHA,385979.68091066,44786467.7096381,15041361.6209524,749507.107559123,11062093.4713273,26834782.1110496,98860191.7014371,,null
Oceania,º Oceania,1967,EFConsTotGHA,250748.03784016,46850494.5701605,4095891.8339312,757096.700963045,10927373.2526928,28203139.046089,91084743.4416768,,null
Oceania,º Oceania,1967,BiocapTotGHA,250748.03784016,0,14397426.1408582,77311346.9185348,49944933.5669842,167082501.772337,308986956.436555,,null
Oceania,º Oceania,1968,BiocapTotGHA,442233.002999519,0,25612039.0666286,77158761.7018941,49814913.7514662,166035495.698513,319063443.221502,,null
Oceania,º Oceania,1968,EFConsTotGHA,442233.002999519,49168371.1735319,16403777.6561018,771756.586345314,11931056.4347442,29753461.6181863,108470656.471908,,null
Oceania,º Oceania,1969,BiocapTotGHA,367809.098950965,0,20366556.2498312,76621006.8977143,49734136.4300829,166354533.133832,313444041.810411,,null
Oceania,º Oceania,1969,EFConsTotGHA,367809.098950965,50527142.600593,12078773.737476,773516.611406498,11876219.8009468,32336899.161381,107960361.010754,,null
Oceania,º Oceania,1970,EFConsTotGHA,347727.837941765,52155534.835342,7905640.06072356,772756.411262632,12005204.7719321,31809443.6315538,104996307.548756,,null
Oceania,º Oceania,1970,BiocapTotGHA,347727.837941765,0,18691692.6018781,76779928.4959363,49690415.6175458,167713259.113023,313223023.666324,,null
Oceania,º Oceania,1971,EFConsTotGHA,382803.607777869,51119346.5599774,5644015.57958936,755758.395802297,12447089.2577981,38534365.511149,108883378.912094,,null
Oceania,º Oceania,1971,BiocapTotGHA,382803.607777869,0,20231167.3257513,76660806.5518156,49687554.7152931,168075103.00847,315037435.209108,,null
Oceania,º Oceania,1972,BiocapTotGHA,305880.39284657,0,15517243.614343,76923987.2670573,49700828.0565145,169182150.611018,311630089.941779,,null
Oceania,º Oceania,1972,EFConsTotGHA,305880.39284657,51705967.8832704,385081.091717607,915654.622120254,11825421.1003416,36858829.7178814,101996834.808178,,null
Oceania,º Oceania,1973,BiocapTotGHA,444452.87749878,0,22701236.9724914,76452941.6744566,49776355.5666375,169146438.384801,318521425.475885,,null
