Series Name,Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,14262.34401,13658.84634,12835.63349,12893.81289,13105.561,13323.08335,13800.31417,14400.15937,14882.76036,14877.29079,15486.51706,15073.08981,15147.95896,15432.51949,15601.88319,16166.15108,17018.57123,17249.15055,17244.46164,16479.21261,16457.9159,16472.0832,16460.67146,16408.31751,16360.55461,16460.15411,16750.52593
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,8353.906165,8249.610998,7441.58841,6860.58198,6065.002007,5451.833517,5623.240021,6290.914316,6851.859695,7114.684958,7562.883999,7960.986055,8416.042566,9072.066185,10180.00299,11213.24943,12410.33019,13539.60241,14972.26946,15035.69965,16235.17145,17166.69564,17479.9294,17656.11934,17944.20985,17229.55519,16752.09877
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,30647.82135,31093.86107,31441.97729,31018.13959,31920.55613,32613.40784,33068.39538,34212.48829,34813.86215,35971.85042,37188.64369,37361.71844,37856.86471,37990.71331,39201.52716,39802.97227,40532.27304,41623.44174,41619.34008,40355.57312,41085.91894,41248.72534,41046.48119,40928.13661,41384.14733,41722.92186,42094.57905
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,5164.848294,5600.285306,6171.287552,6449.14259,6329.356375,6207.325586,6098.21101,6088.447432,6078.194025,6370.062852,6959.303816,7088.549935,7246.146465,7718.150044,7873.492168,7871.591678,8020.803924,7901.213708,7949.629143,7808.309416,7875.255948,7855.698287,7974.262913,7903.471036,8005.484897,8061.331831,7846.015832
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,1462.677421,1473.862526,1465.570579,1497.74264,1476.539343,1515.06774,1531.642807,1571.169061,1585.785066,1621.900868,1666.467464,1703.01513,1728.696879,1734.6953,1757.902979,1735.97415,1752.95774,1805.622568,1841.249801,1831.762518,1818.778461,1820.894693,1855.843428,1934.595772,2001.129161,1987.167146,2009.961384
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,40553.25852,39322.10918,39584.32986,40557.22016,40518.40782,41999.25946,42816.96324,44514.10942,45911.6865,47199.84145,51140.23684,54245.14964,53096.92549,54549.80116,55452.63888,56017.19162,58784.59329,60117.45991,60675.98209,57151.91913,56395.0078,54984.51039,52137.30037,50669.31477,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,2325.241884,2315.740538,2448.530372,2537.303845,2697.03839,2896.949919,3032.228139,3137.937414,3241.365254,3403.551845,3538.773616,3723.981551,4009.251956,4198.587428,4329.159846,4521.985678,4719.665364,5446.362486,5592.162848,5851.678019,6419.675599,6805.878456,7032.74666,7070.792468,7366.424126,7743.337996,8253.293783
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,3707.24505,3826.432479,3813.526517,3898.646434,4000.832287,4106.16907,4201.558009,4323.761615,4453.29486,4386.792364,4412.255626,4403.716933,4431.306107,4470.309092,4575.172905,4694.91657,4836.432476,4972.491563,5191.131904,5278.038268,5407.47022,5598.508445,5792.933051,6090.69557,6324.827258,6531.519398,6707.956184
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,1471.405314,1826.06114,3508.289633,4749.889771,5493.721431,6007.290881,6324.924675,6595.205612,6936.432481,7207.323455,7642.844638,8311.688435,8763.509254,9278.973885,9824.105697,9573.738874,9720.342177,9901.610202,9929.471796,10284.68627,10516.69484,10932.04871,11327.48741
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,8110.440465,8476.569852,8489.525116,8427.248164,8516.859696,8903.746295,9217.414228,9753.109608,9635.307714,10378.8152,10410.70268,10278.62582,10749.25103,11094.50139,11239.03258,11583.21959,12362.92919,13175.17963,13768.33844,12499.4074,13334.1988,13889.27047,14244.49431,15568.27337,15914.67023,15356.45762,15723.23706
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,10344.63668,10319.70218,10099.55331,10397.93148,10776.1959,11072.48156,11137.34411,11334.57125,11197.45546,11081.41069,11370.72946,11369.01388,11560.03727,11542.57882,12058.32137,12299.37974,12644.93922,13271.04704,13806.01492,13653.01396,14539.08453,14973.09847,15118.13845,15430.26828,15370.99637,14666.01817,14023.69162
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,84672.3915,84879.79213,86423.28356,84290.36664,84607.17457,86116.01773,86411.96446,83138.22352,80813.33691,81476.15172,82049.58086,82596.77622,84125.44059,84970.73553,83942.21941,82967.11276,85424.55836,84503.53876,81905.65813,79512.75501,80552.86447,82434.88309,81993.93208,79070.24593,76089.28657,74600.1643,71788.78323
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,9296.943771,8596.505623,8057.396077,8001.702265,8174.88781,8446.240864,8625.751779,8582.962631,8942.843478,8488.608031,8958.102555,9526.405701,10321.34764,10931.66552,11736.55178,12680.95748,13640.5277,14795.87853,15442.13773,14984.59279,15283.26841,15676.14413,15772.086,15997.33459,16302.31289,17000.16725,17794.52661
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,844.3421676,896.5984778,874.8064446,880.8914925,868.4635323,893.2406808,964.5869206,997.3647514,1040.667438,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924877,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.304708,1582.333697,1596.334538,1642.185834
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,1087.488728,1115.73855,1103.299109,1014.690653,959.1738301,869.8080338,789.7516667,768.1683907,794.9980703,775.3641076,754.0962802,751.388913,763.177201,730.9029513,741.7662517,724.1600123,738.0924903,747.6764747,759.3399325,760.0617234,763.8319302,771.5094237,778.7354836,790.7145176,803.1728374,748.4152713,721.1765615
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,1656.907503,1641.516851,1774.627171,1877.285579,2177.550633,2423.288843,2632.979451,2858.333471,3145.619747,3425.087925,3835.238606,3844.508364,3971.288249,4064.843649,4407.340031,4643.455384,4949.2259,5633.933112,5944.038825,5806.646232,5828.241588,5991.77849,5986.939056,5963.907976,5928.199024,5918.58845,6074.754548
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,..,..,..,1015.031006,1070.130829,1102.919902,1128.02042,1158.124745,1184.482745,1293.661594,1375.96899,1458.07818,1525.438013,1627.065866,1766.417798,1969.291178,2148.332688,2332.726846,2452.278159,2417.876281,2522.926825,2658.709247,2807.007055,2966.16402,3124.319293,3290.952454,3465.125565
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,3020.491911,2822.219192,2657.992144,2380.037889,2365.552395,2383.748573,2424.402695,2487.663546,2535.558413,2578.98146,2603.771592,2648.546705,2689.891737,2739.685104,2848.654228,2829.19069,2848.724658,2907.826607,2927.844648,2911.296669,2929.829113,2969.047575,3021.20597,3100.17131,3196.361526,3289.064546,3346.817793
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,31299.65457,30220.36078,30115.28124,30578.44562,31646.81026,32226.22694,32394.57787,33425.81513,34424.05206,35903.15453,37431.91698,37712.12824,38500.31708,38805.67111,39604.35486,40471.26053,41203.3504,41647.38781,41611.25081,39924.1959,40699.35513,41565.27122,41794.53892,42339.37888,42957.49736,43002.40931,43113.68397
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49903.02854,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,932.2585349,904.0901316,823.8252849,804.3937105,821.4851767,858.2810401,804.0317056,827.0300475,846.6270977,858.2290663,819.3738443,838.7096418,852.2711802,791.2745565,823.5350912,816.3438179,840.260089,863.7545661,867.3811248,870.4197626,888.00725,911.6559469,946.1357071,597.6749068,601.7858918,626.4108725,647.8804448
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Chad,TCD,1110.43798,1167.350171,1221.2375,996.9555484,1062.908208,1040.916137,1028.642308,1050.229306,1084.729434,1039.46558,993.1829822,1067.947758,1115.037497,1231.115101,1584.67315,1793.406936,1743.617851,1741.487056,1736.919173,1752.119931,1925.195118,1863.845605,1962.87773,2007.077319,2076.650008,2047.637179,1845.914679
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Chile,CHL,8991.846477,9538.654631,10437.98489,10956.11456,11336.78427,12172.25856,12819.8977,13587.50678,13991.42305,13758.91443,14315.42606,14613.80387,14895.54019,15332.29703,16258.38895,17007.57982,17890.59972,18572.56839,19031.61643,18547.46153,19442.05032,20437.70453,21330.23991,21998.30715,22226.45247,22536.61769,22706.72054
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,China,CHN,1526.408699,1645.666366,1856.722181,2090.03841,2336.277721,2564.071317,2789.2528,3015.699631,3221.002621,3438.074685,3700.743648,3980.364498,4314.791343,4718.326346,5164.641095,5719.455366,6411.042544,7285.274415,7947.787952,8651.725901,9525.818483,10384.3666,11145.75158,11951.24796,12758.64779,13569.89153,14399.44766
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Colombia,COL,7533.518385,7562.697695,7799.908974,7844.022737,8160.120713,8442.850813,8478.951104,8634.469088,8553.380914,8073.372693,8308.22295,8327.070759,8415.759119,8625.24657,8963.595329,9263.730173,9760.134926,10306.94749,10547.26039,10599.9626,10900.50528,11496.47771,11840.24043,12296.29554,12715.96739,12985.38313,13124.32484
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Comoros,COM,1599.95155,1469.780491,1549.202531,1550.214085,1427.110431,1437.832802,1380.824339,1398.340257,1379.365152,1370.115389,1480.917674,1478.578216,1476.84428,1472.413878,1465.457301,1471.559414,1474.827429,1451.421611,1422.622349,1415.84569,1412.502687,1414.611723,1422.229487,1437.004907,1432.088748,1413.059277,1411.152339
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Congo, Dem. Rep.",COD,1280.454933,1130.173902,972.7387585,809.4795749,750.0934146,731.3368602,703.9715597,648.3664499,623.4637447,583.0815215,529.2062089,503.9824647,503.8321212,515.8467588,533.5363628,548.5087959,559.3908935,575.3320134,591.3508949,588.3934106,609.4044028,629.8563888,652.7772864,685.0724612,725.730118,750.497342,743.8943424
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Congo, Rep.",COG,5140.416146,5122.260941,5114.784771,4928.001902,4530.730304,4582.106819,4645.978468,4487.209498,4523.627153,4283.324088,4480.147677,4524.171563,4604.574502,4515.665444,4539.273904,4742.93598,4875.937296,4637.212916,4730.033797,4918.072012,5186.344788,5213.946921,5271.16806,5317.086292,5538.052941,5542.892982,5301.395941
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Costa Rica,CRI,7787.161762,7787.094362,8289.665371,8655.232665,8820.050146,8960.615427,8855.114976,9129.620401,9545.785839,9712.485384,9878.288691,10040.57414,10201.58772,10473.91634,10768.74136,11025.47676,11656.21429,12433.20157,12834.93616,12543.9779,12999.99219,13397.23054,13878.0474,14035.28798,14392.04224,14914.20675,15401.4925
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cote d'Ivoire,CIV,3193.758531,3083.890945,2970.47508,2864.708804,2793.440697,2898.400745,3027.80288,3049.486821,3111.50077,3081.198619,2947.606573,2889.94571,2788.347363,2701.769483,2686.665668,2682.448861,2670.229356,2662.331114,2672.337082,2698.554349,2690.258002,2511.420195,2712.378026,2879.850217,3054.534874,3241.612056,3424.76421
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Croatia,HRV,..,..,..,..,..,12624.59474,13886.61309,14556.78981,15061.71797,14747.16535,15745.32046,16234.72593,17086.47669,18036.12718,18776.7371,19545.36126,20489.85593,21564.51202,22014.71468,20414.19285,20118.21083,20704.43719,20313.53703,20153.46817,20136.21866,20759.04815,21527.96767
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cyprus,CYP,23300.67477,22873.16733,24366.28993,23951.42271,24845.33797,26465.09469,26393.82716,26689.9653,27745.051,28761.09516,30085.77412,30834.90981,31519.72406,31909.93263,32924.9335,33662.8529,34599.02451,35502.95597,35960.35272,34387.34837,33941.13802,33192.37985,31690.70277,29879.56721,29786.17439,30549.10097,31331.393
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Czech Republic,CZE,20023.13599,17739.9967,17632.09962,17624.68478,18130.89102,19270.69939,20107.85346,20009.83181,19962.96129,20269.69866,21193.90171,21892.48253,22297.22475,23107.20388,24233.59699,25781.20471,27473.62712,28844.06719,29373.10923,27803.58716,28352.9494,28797.41796,28527.13873,28379.74612,29119.61661,30605.42052,31338.87521
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Denmark,DNK,33785.65014,34167.71928,34721.38178,34609.58309,36332.21734,37237.72328,38101.40552,39180.68656,39904.59561,40945.27924,42337.71437,42533.53926,42595.58722,42645.58313,43670.4453,44567.93131,46159.91374,46373.51666,45865.79596,43382.62546,43998.43667,44403.39415,44336.81246,44564.45216,45057.07417,45458.69715,45991.22478
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Djibouti,DJI,3101.670078,2888.530244,2849.460871,2645.998068,2604.892654,2482.034952,2330.734897,2252.901701,2190.002448,2175.436542,2131.262644,2130.004412,2146.207329,2178.699034,2226.445765,2260.35114,2330.304734,2409.228271,2507.048481,2589.46196,2634.713246,2705.405589,2787.330411,2876.094202,2996.941031,3139.273535,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Dominica,DMA,6730.022856,6778.965297,6905.278196,6997.687901,7081.637677,7221.986062,7436.010191,7588.680235,8018.92634,8118.417319,8175.435185,8214.820819,8053.001326,8638.771451,8883.297524,8844.293361,9080.26156,9634.767282,10302.82784,10160.15225,10198.27352,10135.27417,9981.101571,9871.672593,10255.2168,9941.894818,10151.34252
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Dominican Republic,DOM,5267.102183,5213.787533,5651.654017,5946.070912,5971.935384,6188.760511,6517.230905,6923.037987,7289.706414,7656.7329,7963.705669,7982.397702,8315.211628,8168.845548,8153.065363,8778.492538,9576.577737,10265.03732,10449.1883,10406.33191,11123.53096,11320.90306,11490.68182,11887.67311,12639.09155,13371.52499,14098.87587
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ecuador,ECU,7472.025128,7611.733255,7595.025335,7571.244874,7720.724316,7726.192086,7696.583402,7867.057933,7964.486069,7443.335645,7387.615879,7550.257275,7727.717349,7808.192201,8311.701354,8607.765409,8837.380686,8879.636854,9285.864407,9183.552558,9352.344237,9926.903441,10322.1789,10665.46258,10901.41856,10749.12887,10424.26415
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Egypt, Arab Rep.",EGY,5909.161575,5836.66634,5965.070541,6013.884613,6130.748719,6292.662391,6482.553363,6712.639989,6856.417675,7142.670243,7388.356411,7507.687261,7541.324229,7635.660607,7800.348919,8001.516541,8398.874535,8838.524796,9305.414955,9561.847569,9857.468282,9823.823287,9822.420181,9814.21213,9879.799359,10095.61017,10319.25693
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,El Salvador,SLV,4529.786732,4628.660068,4909.905684,5200.79531,5444.894753,5724.864263,5760.0825,5946.146113,6114.658167,6275.085123,6363.80285,6430.542392,6543.024706,6658.508708,6748.681434,6956.449574,7195.73997,7438.880372,7500.569275,7233.638037,7299.871312,7428.030149,7532.861222,7635.721425,7707.069459,7845.157575,7989.997256
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Equatorial Guinea,GNQ,999.5045346,958.3529008,1250.128517,1342.452898,1513.077871,1715.227531,2752.926121,6620.818906,7876.198479,9507.224158,10792.73302,16932.00272,19418.69467,21230.11107,28076.34898,31372.08279,32300.73714,35570.72507,40015.81919,38738.15203,33723.3658,34363.15291,35632.04564,32736.09743,31542.51077,27572.58751,24162.52753
