Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
North America,º North America,1961,BiocapTotGHA,7422685.33544977,0,251230256.365538,228593548.283617,828744528.721195,111070424.441299,1427061443.1471,,null
North America,º North America,1961,EFConsTotGHA,7422685.33544977,1035767246.41006,199970789.600521,30838879.1848463,253757534.889791,131125378.279871,1658882513.70054,,null
North America,º North America,1962,BiocapTotGHA,7649942.57881618,0,260308971.596086,228058540.282787,828619620.110671,110996563.227633,1435633637.79599,,null
North America,º North America,1962,EFConsTotGHA,7649942.57881618,1089669310.97859,214679071.349128,32116469.473932,264456569.68296,133121996.375468,1741693360.43889,,null
North America,º North America,1963,EFConsTotGHA,8161236.082437,1161256319.45325,226304949.246674,32385444.7690157,261393603.06579,132606819.684132,1822108372.3013,,null
North America,º North America,1963,BiocapTotGHA,8161236.082437,0,280812309.281941,227287463.813982,827389668.319294,109321605.05393,1452972282.55159,,null
North America,º North America,1964,BiocapTotGHA,7785664.5037934,0,258079468.968901,226798776.816749,826793684.05298,109063782.948066,1428521377.29049,,null
North America,º North America,1964,EFConsTotGHA,7785664.5037934,1220405807.93024,190388060.495221,30994077.4653001,274267913.336011,126279951.228638,1850121474.9592,,null
North America,º North America,1965,EFConsTotGHA,8825387.66518863,1294395655.09753,221948275.315188,31345258.4976993,282403003.150868,127195777.717461,1966113357.44394,,null
North America,º North America,1965,BiocapTotGHA,8825387.66518863,0,288631619.940528,225989557.561303,827184702.672472,108215826.943366,1458847094.78286,,null
North America,º North America,1966,EFConsTotGHA,8895102.50655651,1377114025.10223,213529587.484448,32354949.8331741,292644593.159805,130268264.269724,2054806522.35594,,null
North America,º North America,1966,BiocapTotGHA,8895102.50655651,0,289708211.385142,225912833.062132,828146933.737463,108796329.171617,1461459409.86291,,null
North America,º North America,1967,EFConsTotGHA,9496947.58143625,1433023402.7773,235148415.39836,30740161.741661,285592463.335889,126867724.068329,2120869114.90298,,null
North America,º North America,1967,BiocapTotGHA,9496947.58143625,0,295259015.445805,225254806.544736,827686894.355932,108273003.423573,1465970667.35148,,null
North America,º North America,1968,EFConsTotGHA,9623670.62962179,1524566704.83259,256552759.182309,30468937.8086496,289131421.405917,129263317.391172,2239606811.25027,,null
North America,º North America,1968,BiocapTotGHA,9623670.62962179,0,308661456.703466,224810233.337492,825032014.875952,105768666.090199,1473896041.63673,,null
North America,º North America,1969,EFConsTotGHA,9556446.53037024,1590447101.60366,274433352.539417,30324841.9244218,293776179.193549,124568017.010418,2323105938.80184,,null
North America,º North America,1969,BiocapTotGHA,9556446.53037024,0,318864487.706832,223243427.697542,823194803.645017,101954171.963571,1476813337.54333,,null
North America,º North America,1970,BiocapTotGHA,9126774.17331382,0,298622999.650054,223706462.624369,821895693.886976,101467324.515376,1454819254.85009,,null
North America,º North America,1970,EFConsTotGHA,9126774.17331382,1681560291.34795,230826904.958597,31548736.6379204,289896708.832837,124563661.412586,2367523077.3632,,null
North America,º North America,1971,EFConsTotGHA,10500779.1614941,1725126578.49103,272964708.188823,30249995.0567835,300689147.63677,120645263.272094,2460176471.80699,,null
